1,0
1.1,0.03174
1.2,0.0384054
1.3,0.0457056
1.4,0.0536406
1.5,0.0622104
1.6,0.071415
1.7,0.0812544
1.8,0.0917286
1.9,0.1028376
2,0.1145814
2.1,0.12696
2.2,0.1399734
2.3,0.1536216
2.4,0.1679046
2.5,0.1828224
2.6,0.198375
2.7,0.2145624
2.8,0.2313846
2.9,0.2488416
3,0.2669334
3.1,0.28566
3.2,0.3050214
3.3,0.3250176
3.4,0.3456486
3.5,0.3669144
3.6,0.388815
3.7,0.4113504
3.8,0.4345206
3.9,0.4583256
4,0.4827654
4.1,0.50784
4.2,0.5335494
4.3,0.5598936
4.4,0.5868726
4.5,0.6144864
4.6,0.642735
4.7,0.6716184
4.8,0.7011366
4.9,0.7312896
5,0.7620774
5.1,0.7935
5.2,0.8255574
5.3,0.8582496
5.4,0.8915766
5.5,0.9255384
5.6,0.960135
5.7,0.9953664
5.8,1.0312326
5.9,1.0677336
6,1.1048694
6.1,1.14264
6.2,1.1810454
6.3,1.2200856
6.4,1.2597606
6.5,1.3000704
6.6,1.341015
6.7,1.3825944
6.8,1.4248086
6.9,1.4676576
7,1.5111414
7.1,1.55526
7.2,1.6000134
7.3,1.6454016
7.4,1.6914246
7.5,1.7380824
7.6,1.785375
7.7,1.8333024
7.8,1.8818646
7.9,1.9310616
8,1.9808934
8.1,2.03136
8.2,2.0824614
8.3,2.1341976
8.4,2.1865686
8.5,2.2395744
8.6,2.293215
8.7,2.3474904
8.8,2.4024006
8.9,2.4579456
9,2.5141254
9.1,2.57094
9.2,2.6283894
9.3,2.6864736
9.4,2.7451926
9.5,2.8045464
9.6,2.864535
9.7,2.9251584
9.8,2.9864166
9.9,3.0483096
10,3.1108374
10.1,3.174
10.2,3.2377974
10.3,3.3022296
10.4,3.3672966
10.5,3.4329984
10.6,3.499335
10.7,3.5663064
10.8,3.6339126
10.9,3.7021536
11,3.7710294
11.1,3.84054
11.2,3.9106854
11.3,3.9814656
11.4,4.0528806
11.5,4.1249304
11.6,4.197615
11.7,4.2709344
11.8,4.3448886
11.9,4.4194776
12,4.4947014
12.1,4.57056
12.2,4.6470534
12.3,4.7241816
12.4,4.8019446
12.5,4.8803424
12.6,4.959375
12.7,5.0390424
12.8,5.1193446
12.9,5.2002816
13,5.2818534
13.1,5.36406
13.2,5.4469014
13.3,5.5303776
13.4,5.6144886
13.5,5.6992344
13.6,5.784615
13.7,5.8706304
13.8,5.9572806
13.9,6.0445656
14,6.1324854
14.1,6.22104
14.2,6.3102294
14.3,6.4000536
14.4,6.4905126
14.5,6.5816064
14.6,6.673335
14.7,6.7656984
14.8,6.8586966
14.9,6.9523296
15,7.0465974
15.1,7.1415
15.2,7.2370374
15.3,7.3332096
15.4,7.4300166
15.5,7.5274584
15.6,7.625535
15.7,7.7242464
15.8,7.8235926
15.9,7.9235736
16,8.0241894
16.1,8.12544
16.2,8.2273254
16.3,8.3298456
16.4,8.4330006
16.5,8.5367904
16.6,8.641215
16.7,8.7462744
16.8,8.8519686
16.9,8.9582976
17,9.0652614
17.1,9.17286
17.2,9.2810934
17.3,9.3899616
17.4,9.4994646
17.5,9.6096024
17.6,9.720375
17.7,9.8317824
17.8,9.9438246
17.9,10.0565016
18,10.1698134
18.1,10.28376
18.2,10.3983414
18.3,10.5135576
18.4,10.6294086
18.5,10.7458944
18.6,10.863015
18.7,10.9807704
18.8,11.0991606
18.9,11.2181856
19,11.3378454
19.1,11.45814
19.2,11.5790694
19.3,11.7006336
19.4,11.8228326
19.5,11.9456664
19.6,12.069135
19.7,12.1932384
19.8,12.3179766
19.9,12.4433496
20,12.5693574
